Date,MC.PA_Close,KER.PA_Close,Ratio,Ratio_Moving_Avg,Sigma,Upper_band,Lower_band,Break_Upper,Break_Lower
2014-12-31,118.2271957397461,132.07183837890622,0.8951733934418277,,,,,,
2015-01-02,116.97565460205078,130.62322998046878,0.8955195382899456,,,,,,
2015-01-05,113.57857513427734,127.64232635498048,0.8898190622004878,,,,,,
2015-01-06,112.2823257446289,126.44139862060548,0.8880186945854525,,,,,,
2015-01-07,112.37171173095705,128.55281066894528,0.8741287813639602,,,,,,
2015-01-08,115.9028778076172,132.52798461914062,0.8745539905454632,,,,,,
2015-01-09,114.15965270996094,131.61660766601562,0.8673651048631137,,,,,,
2015-01-12,117.9590072631836,134.26612854003906,0.8785462763083053,,,,,,
2015-01-13,118.85295104980469,137.2889404296875,0.8657139510132297,,,,,,
2015-01-14,118.6294937133789,134.55654907226562,0.8816329976600927,,,,,,
2015-01-15,120.73030090332031,138.07559204101562,0.8743782961108516,,,,,,
2015-01-16,119.97044372558594,137.53750610351562,0.8722743862702579,,,,,,
2015-01-19,119.97044372558594,138.32415771484378,0.8673137484264017,,,,,,
2015-01-20,122.02655029296876,138.447998046875,0.8813890559230307,,,,,,
2015-01-21,122.83113861083984,143.0432586669922,0.8586992477345151,,,,,,
2015-01-22,123.23342895507812,143.89126586914062,0.8564343930864476,,,,,,
2015-01-23,126.80928802490234,148.52987670898438,0.8537628309849113,,,,,,
2015-01-26,129.31242370605472,149.40757751464844,0.8655011068188725,,,,,,
2015-01-27,129.71470642089844,148.57211303710938,0.8730757325131342,,,,,,
2015-01-28,129.8040771484375,149.90939331054688,0.8658835466003125,,,,,,
2015-01-29,129.35710144042972,150.4525604248047,0.8597866402219299,,,,,,
2015-01-30,128.28433227539062,149.95077514648438,0.8555096307443014,,,,,,
2015-02-02,128.10556030273438,148.90579223632812,0.8603128083789935,,,,,,
2015-02-03,129.17829895019528,148.61351013183594,0.8692231199949483,,,,,,
2015-02-04,139.68244934082028,151.95709228515625,0.9192229677486728,,,,,,
2015-02-05,137.22401428222656,151.2880096435547,0.9070382683038537,,,,,,
2015-02-06,136.59825134277344,152.83482360839844,0.8937639218452778,,,,,,
2015-02-09,134.63154602050778,150.87071228027344,0.8923636932952365,,,,,,
2015-02-10,139.593017578125,153.2943572998047,0.9106207171417057,,,,,,
2015-02-11,139.95065307617188,153.00204467773438,0.9146979268868437,,,,,,
2015-02-12,142.27491760253906,152.7089080810547,0.9316739893590393,,,,,,
2015-02-13,141.69384765625,152.8761749267578,0.9268536953134443,,,,,,
2015-02-16,140.30818176269528,151.41390991210938,0.9266531842691297,,,,,,
2015-02-17,140.88926696777344,149.24029541015625,0.9440430721513132,,,,,,
2015-02-18,141.91734313964844,149.40757751464844,0.9498671051388566,,,,,,
2015-02-19,143.74998474121094,149.53347778320312,0.961323088797699,,,,,,
2015-02-20,143.92877197265625,150.11802673339844,0.9587707426255078,,,,,,
2015-02-23,144.15228271484375,149.69984436035156,0.9629421014483226,,,,,,
2015-02-24,144.10757446289062,150.70346069335938,0.9562326823808672,,,,,,
